Series Name,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Trained teachers in primary education (% of total teachers),Panama,PAN,..,74.89343262,91.51663971,90.40331268,..,83.18903351,99.24497223,99.24497223,99.24497223,..,..,..
Trained teachers in primary education (% of total teachers),Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Paraguay,PRY,..,..,..,92.0764389,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Peru,PER,..,..,..,..,..,..,..,..,97.3806076,94.73621368,14.39910984,..
Trained teachers in primary education (% of total teachers),Philippines,PHL,..,..,..,..,..,100,100,100,100,100,..,..
Trained teachers in primary education (% of total teachers),Poland,POL,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Portugal,PRT,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Puerto Rico,PRI,..,..,..,..,..,94,94.69358826,92.57585144,..,..,..,..
Trained teachers in primary education (% of total teachers),Qatar,QAT,..,..,..,..,..,..,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Romania,ROU,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Russian Federation,RUS,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Rwanda,RWA,..,52.58311844,98.42675781,95.55908203,95.20406342,95.57449341,93.92453003,..,92.58643341,94.40020752,95.06130981,..
Trained teachers in primary education (% of total teachers),Samoa,WSM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),San Marino,SMR,..,..,..,..,..,..,..,..,..,90.20407867,90.12345886,..
Trained teachers in primary education (% of total teachers),Sao Tome and Principe,STP,..,..,..,..,..,33.0170784,34.35115051,31.09540939,27.40988922,..,..,..
Trained teachers in primary education (% of total teachers),Saudi Arabia,SAU,..,..,..,..,100,100,100,100,100,100,100,..
Trained teachers in primary education (% of total teachers),Senegal,SEN,..,..,63.10218811,64.72177124,72.37908936,69.96822357,68.33982086,..,..,..,75.33952332,..
Trained teachers in primary education (% of total teachers),Serbia,SRB,..,..,70.42041779,55.73442841,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Seychelles,SYC,..,81.14035034,86.7378006,76.4790802,69.44023895,71.29908752,83.63913727,82.91925049,84.00621033,84.97653198,84.2767334,..
Trained teachers in primary education (% of total teachers),Sierra Leone,SLE,..,..,48.01836014,54.60126114,57.11605835,..,53.82229996,..,..,60.91664886,63.64741135,..
Trained teachers in primary education (% of total teachers),Singapore,SGP,..,..,..,..,..,..,..,98.99581146,98.99806213,98.26316071,..,..
Trained teachers in primary education (% of total teachers),Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Slovak Republic,SVK,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Slovenia,SVN,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Solomon Islands,SLB,..,..,53.54439926,54.30644989,63.34016037,64.61447144,59.19525909,65.57953644,74.14981842,76.06652069,..,..
Trained teachers in primary education (% of total teachers),Somalia,SOM,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),South Africa,ZAF,..,67.94187164,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),South Sudan,SSD,..,..,44.02709961,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Spain,ESP,..,..,..,..,..,..,..,..,..,..,..,..
Trained teachers in primary education (% of total teachers),Sri Lanka,LKA,..,..,82.39038086,..,80.24323273,..,86.22579956,85.04174042,85.47911072,83.05119324,..,..
Trained teachers in primary education (% of total teachers),St. Kitts and Nevis,KNA,..,61.2359581,63.61656189,64.67532349,64.67532349,68.32917786,71.82319641,72.01017761,..,..,..,..
Trained teachers in primary education (% of total teachers),St. Lucia,LCA,..,..,86.74136353,87.76091003,88.6384964,78.78289032,..,..,89.37380981,88.95079041,88.06659698,..
